WchT U26,Dresden,1969.??.??,?,"Aijala, Jouko","Ljubojevic, Ljubomir",,,B79,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'Bd7'], ['Bb3', 'g6'], ['f3', 'Bg7\n'], ['Be3', 'Qa5'], ['Qd2', 'O-O'], ['O-O-O', 'Rfc8'], ['h4', 'Ne5'], ['g4', 'b5'], ['h5', 'Nc4'], ['Bxc4', 'bxc4\n'], ['hxg6', 'fxg6'], ['Qh2', 'Rab8'], ['Nd5', 'c3'], ['Nxf6+', 'exf6'], ['Qxh7+', 'Kf7'], ['Nf5', 'gxf5\n'], ['Rxd6', 'cxb2+'], ['Kb1', 'Qa4'], ['Rd2', 'Rh8']]",0-1
JUG-24ch,Novi Travnik,1969.??.??,11,"Ljubojevic, Ljubomir","Cvetkovic, Srdjan",,,A00,"[['b4', 'Nf6'], ['Bb2', 'e6'], ['a3', 'd5'], ['e3', 'a5'], ['b5', 'c5'], ['bxc6', 'bxc6'], ['Nf3', 'Bd6'], ['c4', 'Nbd7\n'], ['Nc3', 'O-O'], ['cxd5', 'cxd5'], ['Bb5', 'e5'], ['d3', 'Bb7'], ['d4', 'e4'], ['Nd2', 'Qe7'], ['Nb3', 'Rfc8\n'], ['Qe2', 'Nb6'], ['O-O', 'Nc4'], ['Na4', 'Bc6'], ['Bxc6', 'Rxc6'], ['Nbc5', 'Nxb2'], ['Nxb2', 'Bxc5'], ['Rfc1', 'Rac8\n'], ['dxc5', 'Rxc5'], ['Rxc5', 'Qxc5'], ['h3', 'h6'], ['Qa6', 'Qc3'], ['Rf1', 'Rb8'], ['Na4', 'Qxa3'], ['Qxa5', 'd4\n'], ['exd4', 'e3'], ['fxe3', 'Qxe3+'], ['Kh2', 'Qxd4'], ['Qc7', 'Re8'], ['Nc3', 'Re5'], ['Qb8+', 'Kh7'], ['Qb1+', 'Kh8\n'], ['Qb8+', 'Re8'], ['Qc7', 'Kg8'], ['Rf4', 'Qd3'], ['Rf3', 'Qd2'], ['Qg3', 'Qd4'], ['Qf4', 'Qc5'], ['Nd1', 'Qa7\n'], ['Nf2', 'Qd7'], ['Ng4', 'Nxg4+'], ['Qxg4', 'Qxg4'], ['hxg4', 'f6'], ['Ra3', 'Re7'], ['Ra5', 'Kf7'], ['Rb5', 'Re5\n'], ['Rb7+', 'Kg6'], ['Ra7', 'h5'], ['gxh5+', 'Rxh5+'], ['Kg3', 'Rg5+'], ['Kf2', 'Rg4'], ['Rb7', 'f5'], ['Ra7', 'Kf6\n'], ['Rb7', 'g6'], ['Rb3', 'Kg5'], ['Ra3', 'Kh5'], ['Rb3', 'g5'], ['Rf3', 'Kg6'], ['Ra3', 'Rb4'], ['Rc3', 'Rb8\n'], ['Ra3', 'Kh5'], ['Rh3+', 'Kg6'], ['Ra3', 'Rb2+'], ['Kf1', 'Kh5'], ['Rh3+', 'Kg4'], ['Rc3', 'Rb4'], ['Kf2', 'f4\n'], ['Ra3', 'Rb2+'], ['Kf1', 'Rb1+'], ['Kf2', 'Rh1'], ['Rb3', 'Kh4'], ['Ra3', 'Kh5'], ['Rb3', 'g4'], ['Rb8', 'Ra1\n'], ['Rh8+', 'Kg6'], ['Rg8+', 'Kf5'], ['Rf8+', 'Ke4'], ['Re8+', 'Kd5'], ['Rd8+', 'Ke6'], ['Re8+', '']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,12,"Marangunic, Srdjan","Ljubojevic, Ljubomir",,,A25,"[['g3', 'g6'], ['Bg2', 'Bg7'], ['c4', 'e5'], ['Nc3', 'f5'], ['d3', 'Nc6'], ['Rb1', 'Nf6'], ['e3', 'd6'], ['Nge2', 'O-O\n'], ['O-O', 'Ne7'], ['f4', 'c6'], ['Kh1', 'Rb8'], ['b4', 'Be6'], ['b5', 'Re8'], ['e4', 'fxe4'], ['fxe5', 'dxe5\n'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Bg4'], ['Bg5', 'Qd7'], ['Bxe7', 'Qxe7'], ['bxc6', 'bxc6'], ['Rxb8', 'Rxb8\n'], ['Qc2', 'Rf8'], ['Rxf8+', 'Qxf8'], ['Ng1', 'Qc5'], ['h3', 'Bd7'], ['Qe2', 'Bh6'], ['Kg2', 'a5'], ['Nf3', 'Bg7\n'], ['g4', 'Qb4'], ['Qf2', 'Qa3'], ['Qa7', 'Be8'], ['Qa8', 'Kf7'], ['Kg3', 'Qc5'], ['h4', 'Bf6'], ['Qb8', 'Kf8\n'], ['Kh3', 'a4'], ['g5', 'Bg7'], ['Qa8', 'a3'], ['Kg3', 'Ke7']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,13,"Ljubojevic, Ljubomir","Stupica, Janesz",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'dxc3'], ['Nxc3', 'Bb4'], ['Bc4', 'Nf6'], ['O-O', 'Bxc3'], ['bxc3', 'd6\n'], ['e5', 'Nxe5'], ['Nxe5', 'dxe5'], ['Qb3', 'Qe7'], ['Ba3', 'c5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['Bxc5', 'Ne4\n'], ['Ba3', 'Nd2'], ['Qb4', 'O-O-O'], ['Rfd1', 'Qc6'], ['c4', 'Ne4'], ['c5', 'Rxd1+'], ['Rxd1', 'Rd8'], ['Rxd8+', 'Kxd8\n'], ['f3', 'Nf6'], ['Qa5+', 'Kd7'], ['Bb2', 'Ke6'], ['Qxa7', 'Nd7'], ['Ba3', 'Qd5'], ['h3', 'Qxa2'], ['Qxb7', 'Qxa3\n'], ['c6', 'Qc5+'], ['Kh2', 'Nb6'], ['c7', 'Kf6'], ['Qxb6+', 'Qxb6'], ['c8=Q', 'h5'], ['Qd7', 'Qe6'], ['Qd3', 'g6\n'], ['Qc3', 'Qf5'], ['Kh1', 'Qf4'], ['Qc7', 'Kg5'], ['Qe7+', 'f6'], ['Qf7', 'Qd4'], ['Qe6', 'Qh4'], ['Kh2', 'Qf4+\n'], ['Kg1', 'Kh4'], ['Qf7', 'Qc1+'], ['Kh2', 'Qf4+'], ['Kg1', 'g5'], ['Qa2', 'g4'], ['hxg4', 'hxg4'], ['fxg4', 'e4\n'], ['Qa5', 'Kg3'], ['Qe1+', 'Kxg4'], ['Qd1+', 'Kh4'], ['Qd7', 'Qe3+'], ['Kh2', 'Qf4+'], ['Kg1', 'f5'], ['Qh7+', 'Kg4\n'], ['Qg7+', 'Qg5'], ['Qd4', 'Qc1+'], ['Kh2', 'Qf4+'], ['Kg1', 'e3'], ['Qg7+', 'Qg5'], ['Qd4+', 'Kg3'], ['Qe5+', 'Qf4\n'], ['Qg7+', 'Qg4'], ['Qe5+', 'f4'], ['Qa1', 'Qd7'], ['Qe1+', 'Kg4'], ['Qe2+', 'Kg5'], ['Qc4', 'Qd1+'], ['Kh2', 'Qd6\n'], ['Kg1', 'Kh4'], ['Qe4', 'Kg4'], ['Qe8', 'Kg5'], ['Qe4', 'Kf6'], ['Qe8', 'Qe6'], ['Qf8+', 'Ke5'], ['Qc5+', 'Qd5\n'], ['Qc3+', 'Kf5'], ['Qc8+', 'Kg5'], ['Qf8', 'Qe6'], ['Qg7+', 'Kf5'], ['Qh7+', 'Ke5'], ['Qc7+', 'Qd6'], ['Qc3+', 'Qd4\n'], ['Qc7+', 'Kd5'], ['Qd7+', 'Kc4'], ['Qa4+', 'Kd3'], ['Qd1+', 'Ke4'], ['Qf3+', 'Ke5'], ['Qh5+', 'Kd6'], ['Qg6+', 'Kc5\n'], ['Qf5+', 'Kb4'], ['Qb1+', 'Ka3'], ['Qc1+', 'Kb3'], ['Qb1+', 'Qb2'], ['Qd3+', 'Qc3'], ['Qb1+', 'Ka3'], ['Qb5', 'Qd2\n'], ['Qa6+', 'Kb2'], ['Qb5+', 'Kc1'], ['Qc4+', 'Kd1'], ['Qxf4', 'e2'], ['Qa4+', 'Qc2'], ['Qd4+', '']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,14,"Bukic, Enver","Ljubojevic, Ljubomir",,,E94,"[['d4', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd6'], ['Nf3', 'Nd7'], ['e4', 'e5'], ['Be2', 'Nh6'], ['O-O', 'O-O'], ['Bg5', 'f6\n'], ['Bh4', 'c6'], ['Bg3', 'f5'], ['dxe5', 'dxe5'], ['Bh4', 'Qe8'], ['Qd6', 'fxe4'], ['Nxe4', 'Rxf3'], ['Bxf3', 'Nf5\n'], ['Qc7', 'Nxh4'], ['Bg4', 'Nb6'], ['Nd6', 'Qf8'], ['Nxc8', 'Nxc8'], ['Rad1', 'Nb6'], ['Be6+', 'Kh8'], ['Qxb7', 'Nf5\n'], ['Bxf5', 'gxf5'], ['Qxc6', 'Rc8'], ['Qb7', 'Nxc4'], ['Rd7', 'Nb6'], ['Rf7', 'Qg8'], ['Rxf5', 'Qxa2'], ['Rf7', 'Rg8\n'], ['Qxa7', 'Qe6'], ['b4', 'Nd5'], ['b5', 'Nf4'], ['Qb7', 'Qg6'], ['g3', 'Nh3+'], ['Kg2', 'Ng5'], ['Rc7', 'e4\n'], ['b6', 'Ne6'], ['Rc4', 'Bd4'], ['Rc8', 'Qg4'], ['Rxg8+', 'Kxg8'], ['Qb8+', 'Kg7'], ['Qd6', 'Qf3+'], ['Kh3', 'Kf6\n'], ['b7', 'Bc5']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,15,"Ljubojevic, Ljubomir","Messing, Hrvoje",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'dxc3'], ['Bc4', 'Nf6'], ['O-O', 'd6'], ['Qb3', 'Qd7'], ['e5', 'dxe5\n'], ['Ng5', 'Nd8'], ['f4', 'e4'], ['Nxc3', 'Bc5+'], ['Kh1', 'O-O'], ['Ncxe4', 'Nxe4'], ['Nxe4', 'Qe7'], ['Ng3', 'Qh4\n'], ['Qc2', 'Bd6'], ['Bd2', 'Be6'], ['Nf5', 'Qg4'], ['Bd3', 'Bxf5'], ['Bxf5', 'Qh4'], ['Rf3', 'g6'], ['Bc3', 'Ne6\n'], ['Raf1', 'Rac8'], ['Rh3', 'Qe7'], ['Bd3', 'Nc5'], ['f5', 'Nxd3'], ['Qxd3', 'Qe8'], ['Rxh7', '']]",1-0
JUG-24ch,Novi Travnik,1969.??.??,16,"Masic, Ljubomir","Ljubojevic, Ljubomir",,,B06,"[['Nf3', 'g6'], ['d4', 'Bg7'], ['e4', 'd6'], ['Nc3', 'c6'], ['Bc4', 'b5'], ['Bd3', 'Nd7'], ['a4', 'b4'], ['Na2', 'a5'], ['c3', 'bxc3\n'], ['bxc3', 'Ngf6'], ['O-O', 'O-O'], ['Rb1', 'Nb6'], ['Be3', 'Bg4'], ['Nc1', 'Qc7'], ['Ne2', 'Rab8'], ['Nd2', 'Bd7\n'], ['h3', 'c5'], ['dxc5', 'Nxa4'], ['cxd6', 'exd6'], ['Qc1', 'Nc5'], ['Bc2', 'Rxb1'], ['Bxb1', 'Re8'], ['Ng3', 'd5\n'], ['exd5', 'Nxd5'], ['Bd4', 'Bxd4'], ['cxd4', 'Ne6'], ['Qxc7', 'Ndxc7'], ['Nge4', 'Kg7'], ['Nb3', 'a4\n'], ['Nbc5', 'Bc6'], ['Nc3', 'Nxc5'], ['dxc5', 'Re5'], ['Ne4', 'Rxe4'], ['Bxe4', 'Bxe4'], ['c6', 'Bd5'], ['Ra1', 'Bb3\n'], ['Kf1', 'Kf6'], ['Ke2', 'Ke6'], ['Kd3', 'Nb5'], ['Rc1', 'Kd6'], ['c7', 'Nxc7'], ['Kc3', 'Nd5+'], ['Kb2', 'Nf4\n'], ['Rg1', 'Nd3+'], ['Ka3', 'Nxf2'], ['Rf1', 'Ne4'], ['Rf4', 'Ke5'], ['Rh4', 'h5'], ['g4', 'hxg4'], ['Rxg4', 'g5\n'], ['Rg1', 'f5'], ['h4', 'gxh4'], ['Rh1', 'f4'], ['Rxh4', 'f3'], ['Rh3', 'Kf4'], ['Rh4+', 'Kg3'], ['Rxe4', 'f2\n'], ['Re3+', 'Kg4']]",0-1
JUG-24ch,Novi Travnik,1969.??.??,17,"Ljubojevic, Ljubomir","Minic, Dragoljub",,,B87,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bc4', 'e6'], ['Bb3', 'b5'], ['f3', 'Nbd7\n'], ['Be3', 'Nc5'], ['Qd2', 'Bd7'], ['g4', 'Qc7'], ['a3', 'Be7'], ['Ba2', 'Rb8'], ['O-O-O', 'a5'], ['g5', 'b4\n'], ['gxf6', 'bxc3'], ['Qxc3', 'Bxf6'], ['Kb1', 'Qb6'], ['b3', 'O-O'], ['Qd2', 'Rfc8'], ['Ne2', 'd5'], ['exd5', 'Qa6\n'], ['Bd4', 'exd5'], ['Ka1', 'Bf5'], ['Rc1', 'Re8'], ['Nc3', 'Qc6'], ['Rhg1', 'Bg6'], ['h4', 'Rbc8'], ['h5', 'Bxd4\n'], ['Qxd4', 'Ne6'], ['Qd2', 'Qxc3+'], ['Qxc3', 'Rxc3'], ['hxg6', 'hxg6'], ['Rgf1', 'Nf4'], ['Kb2', 'Rec8\n'], ['b4', 'd4'], ['Bb1', 'axb4'], ['axb4', 'd3'], ['Rfd1', 'Ne2'], ['b5', 'Nxc1'], ['Rxc1', 'dxc2'], ['Rxc2', 'Rxc2+\n'], ['Bxc2', 'Kf8'], ['Kb3', 'Ke7'], ['Bd3', 'Kd6'], ['Kb4', 'Rc1']]",0-1
JUG-24ch,Novi Travnik,1969.??.??,18,"Vukic, Milan","Ljubojevic, Ljubomir",,,E94,"[['d4', 'g6'], ['c4', 'Bg7'], ['Nf3', 'd6'], ['Nc3', 'Nd7'], ['e4', 'e5'], ['Be2', 'Nh6'], ['O-O', 'O-O'], ['Bg5', 'f6\n'], ['Bh4', 'c6'], ['dxe5', 'dxe5'], ['b4', 'Qe8'], ['Nd2', 'f5'], ['c5', 'Nf7'], ['exf5', 'gxf5'], ['Nc4', 'e4\n'], ['Qb3', 'Kh8'], ['Rad1', 'Nde5'], ['Nd6', 'Nxd6'], ['Rxd6', 'Ng6'], ['Bh5', 'Qe5'], ['Bxg6', 'hxg6'], ['Ne2', 'f4\n'], ['f3', 'a5'], ['a3', 'axb4'], ['axb4', 'Bf5'], ['Bf2', 'e3'], ['Be1', 'Qe7'], ['Bc3', 'g5'], ['h4', 'Kh7\n'], ['hxg5', 'Bxc3'], ['Rh6+', 'Kg7'], ['Qxc3+', 'Kf7'], ['Rf6+', 'Kg8'], ['Nxf4', '']]",1-0
JUG-24ch,Novi Travnik,1969.??.??,20,"Ljubojevic, Ljubomir","Bertok, Mario",,,B82,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Qc7'], ['Nc3', 'e6'], ['f4', 'd6'], ['Be3', 'Nf6'], ['Qf3', 'Be7\n'], ['O-O-O', 'a6'], ['g4', 'Nxd4'], ['Rxd4', 'b5'], ['g5', 'Nd7'], ['Kb1', 'Rb8'], ['Bh3', 'b4'], ['Ne2', 'a5\n'], ['f5', 'exf5'], ['exf5', 'Bb7'], ['Qf1', 'Bxh1'], ['Qxh1', 'Ne5'], ['Bg2', 'O-O'], ['Bd5', 'Rfc8'], ['Qe4', 'Kh8\n'], ['h4', 'a4'], ['Nf4', 'Rb5'], ['f6', 'gxf6'], ['gxf6', 'Bxf6'], ['Qf5', 'Bg7'], ['Be4', 'Ng6'], ['Nxg6+', 'hxg6\n'], ['Qxb5', 'Bxd4'], ['Bxd4+', 'Kg8'], ['Qxb4', 'a3'], ['Bc3', 'Qc4'], ['Bd3', 'Qc6'], ['Qe4', 'Qxe4'], ['Bxe4', 'Rc4\n'], ['Bd5', 'Rxh4'], ['b4', 'Kf8'], ['b5', 'Ke7'], ['b6', 'Kd7'], ['Bf6', 'Rh5'], ['c4', 'Rh2'], ['Kc1', 'Rxa2\n'], ['b7', 'Kc7'], ['Bd8+', '']]",1-0
JUG-24ch,Novi Travnik,1969.??.??,21,"Nikolic, Predrag","Ljubojevic, Ljubomir",,,B21,"[['e4', 'c5'], ['f4', 'Nc6'], ['Nf3', 'g6'], ['Bb5', 'Bg7'], ['Bxc6', 'dxc6'], ['d3', 'Nf6'], ['Nc3', 'O-O'], ['O-O', 'Bg4\n'], ['Be3', 'b6'], ['h3', 'Bxf3'], ['Qxf3', 'e5'], ['f5', 'h6'], ['Ne2', 'Ne8'], ['g4', 'g5'], ['Kg2', 'f6'], ['h4', 'Kf7\n'], ['Rh1', 'Nd6'], ['hxg5', 'fxg5'], ['Rh2', 'Rh8'], ['Rf1', 'Bf6'], ['Rfh1', 'Kg7'], ['Ng3', 'Qe7'], ['Nh5+', 'Kf7\n'], ['c4', 'Rad8'], ['Qe2', 'Rd7'], ['Rh3', 'Ke8'], ['Qc2', 'Nf7'], ['Bd2', 'Qd6'], ['Rc1', 'Ke7'], ['b4', 'Rhd8\n'], ['Qb3', 'Kf8'], ['bxc5', 'bxc5'], ['Be3', 'Be7'], ['Rc3', 'Kg8'], ['Qa3', 'Rb7'], ['Rf3', 'Rdb8'], ['Ng3', 'Qd7\n'], ['Bxc5', 'Rb2+'], ['Rf2', 'Rxf2+'], ['Kxf2', 'Bxc5+'], ['Qxc5', 'Rb2+'], ['Kf3', 'Qd4']]",0-1
Sarajevo,Sarajevo,1970.??.??,1,"Mihaljcisin, Mihajlo","Ljubojevic, Ljubomir",,,B74,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be2', 'Bg7'], ['Be3', 'O-O'], ['f4', 'Nc6\n'], ['Nb3', 'a5'], ['a4', 'Be6'], ['O-O', 'Qc8'], ['h3', 'Nb4'], ['Nd4', 'Bc4'], ['f5', 'Nd7'], ['Rf2', 'Ne5'], ['Bf3', 'd5\n'], ['Nxd5', 'Nxd5'], ['exd5', 'Rd8'], ['b3', 'Nxf3+'], ['Qxf3', 'Bxd5'], ['Qf4', 'Qb8'], ['Qxb8', 'Raxb8\n'], ['Rd1', 'Be4'], ['fxg6', 'e5'], ['gxf7+', 'Kh8'], ['Re1', 'exd4'], ['Bg5', 'Bg6'], ['Bxd8', 'Rxd8'], ['Re7', 'Bh6\n'], ['Rf6', 'Rf8'], ['Rxg6', 'hxg6'], ['Rxb7', 'Bd2'], ['Kf1', 'Kg7'], ['Ke2', 'Bc3'], ['g4', 'Rxf7'], ['Rb5', 'Re7+\n'], ['Kf2', 'Kh6'], ['h4', 'Rc7'], ['h5', 'Bb4'], ['Rb6', 'Rxc2+'], ['Kf3', '']]",0-1
Sarajevo,Sarajevo,1970.??.??,2,"Kurajica, Bojan","Ljubojevic, Ljubomir",,,B57,"[['e4', 'c5'], ['Nf3', 'd6'], ['Nc3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Bc4', 'Bd7'], ['O-O', 'g6'], ['Nxc6', 'Bxc6\n'], ['Nd5', 'Bg7'], ['Bg5', 'O-O'], ['Re1', 'e6'], ['Nc3', 'h6'], ['Bd2', 'd5'], ['exd5', 'exd5'], ['Bd3', 'Qb6\n'], ['Rb1', 'Rfe8'], ['h3', 'Rxe1+'], ['Qxe1', 'Re8'], ['Qc1', 'Kh7'], ['Qf1', 'd4'], ['Ne2', 'Ne4'], ['Bf4', 'Bd5\n'], ['c4', 'Nc5'], ['Ng3', 'Nxd3'], ['Qxd3', 'Qa6'], ['b3', 'f5'], ['Qd2', 'Be4'], ['Re1', 'g5'], ['Bc7', 'Qc6\n'], ['Ba5', 'Bxg2'], ['Rxe8', 'Bxh3'], ['f4', 'Qxe8'], ['fxg5', 'Qe3+'], ['Kh2', 'Bg4'], ['gxh6', 'Be5'], ['Qg2', 'Qxh6+\n'], ['Kg1', 'Qe3+'], ['Kh2', 'Bf3'], ['Qh3+', 'Kg8']]",0-1
Sarajevo,Sarajevo,1970.??.??,3,"Ljubojevic, Ljubomir","Kovacs, Miklos",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'dxc3'], ['Bc4', 'cxb2'], ['Bxb2', 'd6'], ['Nc3', 'Be6'], ['Nd5', 'Qd7\n'], ['Rc1', 'Nge7'], ['O-O', 'Ng6'], ['Qa4', 'a6'], ['Rfe1', 'Ra7'], ['Bf1', 'Kd8'], ['Qb3', 'b6'], ['Qe3', 'Nge7\n'], ['Red1', 'f6'], ['Bc4', 'Bxd5'], ['Bxd5', 'Nxd5'], ['exd5', 'Ne7'], ['Nd4', 'Ke8'], ['Qf3', 'Kf7'], ['Re1', 'Ra8\n'], ['Re6', 'h5'], ['Rce1', 'Rc8'], ['Nc6', 'Nxc6'], ['Rxf6+', 'Kg8'], ['dxc6', 'Qg4'], ['Qd5+', 'Kh7'], ['Rf5', 'Kh6\n'], ['Bc1+', 'g5'], ['Qe6+', 'Kh7'], ['Rf7+', 'Bg7'], ['Rxg7+', '']]",1-0
Sarajevo,Sarajevo,1970.??.??,4,"Padevsky, Nikola","Ljubojevic, Ljubomir",,,B06,"[['d4', 'g6'], ['e4', 'Bg7'], ['f4', 'd6'], ['Nf3', 'Nf6'], ['e5', 'Nd5'], ['c4', 'Nb6'], ['Be3', 'dxe5'], ['Nxe5', 'Bf5\n'], ['Nc3', 'Nc6'], ['Nxc6', 'bxc6'], ['Qd2', 'O-O'], ['Be2', 'Qd7'], ['O-O', 'Rad8']]",1/2-1/2
Sarajevo,Sarajevo,1970.??.??,5,"Ljubojevic, Ljubomir","Antoshin, Vladimir S",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'd3'], ['Bxd3', 'd6'], ['Bf4', 'Nge7'], ['Nbd2', 'Ng6'], ['Bg3', 'Be7\n'], ['Nc4', 'O-O'], ['Ne3', 'Nge5'], ['Bc2', 'Nxf3+'], ['Qxf3', 'Bg5']]",1/2-1/2
Sarajevo,Sarajevo,1970.??.??,6,"Tringov, Georgi P","Ljubojevic, Ljubomir",,,B36,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['c4', 'Nf6'], ['Nc3', 'Nxd4'], ['Qxd4', 'd6'], ['Be2', 'Bg7\n'], ['Be3', 'O-O'], ['Qd2', 'Qa5'], ['f3', 'a6'], ['Rc1', 'Bd7'], ['O-O', 'Rfd8'], ['a3', 'b5'], ['b4', 'Qc7'], ['cxb5', 'axb5\n'], ['Nd5', 'Qb7'], ['Nxe7+', 'Kh8'], ['Bd4', 'Be8'], ['Nd5', 'Nxd5'], ['exd5', 'Bxd4+'], ['Qxd4+', 'Kg8\n'], ['Rc3', 'Qa7'], ['Qxa7', 'Rxa7'], ['Rfc1', 'Rda8'], ['Re3', 'Kf8'], ['Rcc3', 'Re7'], ['Kf2', 'Rxe3'], ['Kxe3', 'Ke7\n'], ['f4', 'Bd7'], ['Kd4', 'Kd8'], ['g4', 'Ke7'], ['g5', 'Ra7'], ['h4', 'Kd8'], ['h5', 'Ke7'], ['Re3+', 'Kd8\n'], ['h6', 'Rc7'], ['Rc3', 'Ra7'], ['Bf1', 'Ke7'], ['Bd3', 'f5'], ['Be2', 'Kd8'], ['Ke3', 'Ra8'], ['Kd2', 'Be8\n'], ['Kc2', 'Ra7'], ['Re3', 'Bd7'], ['Kb2', 'Ra8'], ['Bd3', 'Ra6'], ['Re1', 'Ra7'], ['Ra1', 'Kc7'], ['Kc3', 'Ra8\n'], ['Kd4', 'Kd8'], ['Ra2', 'Ra7']]",1/2-1/2
Sarajevo,Sarajevo,1970.??.??,7,"Ljubojevic, Ljubomir","Parma, Bruno",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Be2', 'Bg7'], ['Bg5', 'c6'], ['Qd2', 'b5'], ['a3', 'Nbd7'], ['Bh6', 'O-O\n'], ['Bxg7', 'Kxg7'], ['Nf3', 'Qc7'], ['O-O', 'a6'], ['Rfe1', '']]",1/2-1/2
Sarajevo+,Sarajevo,1970.??.??,8,"Barczay, Laszlo","Ljubojevic, Ljubomir",,,B77,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'Nc6'], ['Qd2', 'O-O\n'], ['Bc4', 'Bd7'], ['Bb3', 'Qa5'], ['O-O-O', 'Rac8'], ['g4', 'Ne5'], ['h4', 'b5'], ['h5', 'b4'], ['Nd5', 'Nxd5\n'], ['Bxd5', 'Nc4'], ['Bxc4', 'Rxc4'], ['Kb1', 'Qe5'], ['Qh2', 'Qxh2'], ['Rxh2', 'a5']]",1/2-1/2
Sarajevo,Sarajevo,1970.??.??,9,"Ljubojevic, Ljubomir","Gasic, Bozidar",,,A36,"[['c4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['Nf3', 'Nf6'], ['O-O', 'O-O'], ['e3', 'e6'], ['d4', 'cxd4\n'], ['Nxd4', 'Nxd4'], ['exd4', 'd5'], ['cxd5', 'Nxd5'], ['Nxd5', 'exd5'], ['Be3', 'Be6'], ['Qd2', 'Qd7'], ['Bh6', 'Bh3']]",1/2-1/2
Sarajevo,Sarajevo,1970.??.??,10,"Bogdanovic, Rajko","Ljubojevic, Ljubomir",,,B28,"[['e4', 'c5'], ['Nf3', 'a6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb3', 'Nf6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Be2', 'Bb4+\n'], ['c3', 'Be7'], ['O-O', 'Qc6'], ['c4', 'Qxe4'], ['Nc3', 'Qh4'], ['Nd5', 'Bd8'], ['f4', 'd6'], ['f5', 'Nc6'], ['g3', 'Qg5\n'], ['Qd3', 'h5'], ['Nd2', 'Nd4'], ['Ne4', 'Qh6'], ['f6', 'O-O'], ['fxg7', 'Kxg7'], ['Nef6', 'Kh8'], ['Bxh5', 'Be6\n'], ['Bg4', 'Rc8'], ['b3', 'b5'], ['Rf2', 'bxc4'], ['bxc4', 'Qg6'], ['Qxg6', 'fxg6'], ['Bxe6', 'Nxe6'], ['Rc1', 'Bxf6\n'], ['Rxf6', 'Rxf6'], ['Nxf6', 'Nd4'], ['Rb1', 'Kg7'], ['Ne4', 'Rxc4'], ['Rb7+', 'Kh6'], ['Nxd6', 'Rc2'], ['Nf7+', 'Kg7\n'], ['Nxe5+', 'Kf6'], ['Ng4+', 'Kg5'], ['Nf2', 'Rxa2'], ['Rf7', 'Kh5'], ['h3', 'a5'], ['Rd7', 'Nf3+'], ['Kg2', 'Ne1+\n'], ['Kf1', 'Nf3'], ['Rh7+', 'Kg5'], ['Rf7', 'Ra3'], ['h4+', 'Nxh4'], ['Ne4+', 'Kh6'], ['gxh4', 'Ra4'], ['Rf4', 'Rb4\n'], ['Ke2', 'a4'], ['Ke3', 'a3'], ['Rf8', 'Ra4']]",1/2-1/2
