Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
URS-JUG,URS,1966.??.??,1,"Gulko, Boris F","Despotovic, Momcilo",,,A71,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'd6'], ['e4', 'g6'], ['Nf3', 'Bg7'], ['Bg5', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'Nh5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['Ne5', 'dxe5'], ['Qxh5', 'b5'], ['O-O', 'O-O\n'], ['h4', 'f6'], ['Rac1', 'Rc8'], ['Nd1', 'Qf7'], ['Qe2', 'a6'], ['Ne3', 'Nd7'], ['b3', 'Nb6'], ['f3', 'Rc7\n'], ['Bf2', 'Bf8'], ['Qd2', 'a5'], ['Nf5', 'Nd7'], ['Rfd1', 'Rca7'], ['Kf1', 'Kh7'], ['Be3', 'b4'], ['hxg5', 'fxg5\n'], ['Kf2', 'Qg6'], ['Rh1', 'Kg8'], ['Rxh6', 'Bxh6'], ['Ne7+', 'Kf7'], ['Nxg6', 'Kxg6'], ['Bxc5', 'Ra6'], ['Be3', 'a4\n'], ['Rc6+', 'Nf6'], ['Rxa6', 'Rxa6'], ['Qxb4', 'axb3'], ['Qxb3', 'Bf8'], ['a4', 'g4'], ['Qb5', 'Ra8'], ['Qc6', 'Rb8\n'], ['Bb6', '']]",1-0
URS-JUG,URS,1966.??.??,2,"Gulko, Boris F","Cvetkovic, Srdjan",,,A67,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['e4', 'g6'], ['f4', 'Bg7'], ['Bb5+', 'Nfd7\n'], ['Bd3', 'O-O'], ['Nf3', 'Na6'], ['O-O', 'Nf6'], ['Qe1', 'Nc7'], ['a4', 'a6'], ['Bd2', 'b6'], ['Rd1', 'Rb8\n'], ['e5', 'Nfxd5'], ['Ne4', 'dxe5'], ['fxe5', 'h6'], ['Nf6+', 'Nxf6'], ['exf6', 'Qxf6'], ['Qg3', 'Rb7'], ['Bc3', 'Qe7\n'], ['Ne5', 'Qg5'], ['Qxg5', 'hxg5'], ['Be4', 'Rb8'], ['Nc6', 'Bxc3'], ['bxc3', 'Bg4'], ['Nxb8', 'Bxd1'], ['Nd7', 'Bxa4\n'], ['Nxf8', 'Kxf8'], ['Rf6', 'Ne6'], ['Bd5', 'Ke7'], ['Rf2', 'Nf4'], ['Bxf7', 'Kxf7'], ['g3', 'Bb3'], ['gxf4', 'gxf4\n'], ['Rxf4+', 'Ke6'], ['Kf2', 'a5'], ['Rf8', 'b5'], ['Rb8', 'Bc4'], ['Rb6+', 'Kf5'], ['Ke3', 'a4'], ['Kd2', 'a3\n'], ['Kc2', 'g5'], ['Rc6', 'Kg4'], ['Rxc5', 'Kh4'], ['Rc7', 'g4'], ['Rh7+', 'Kg5'], ['Ra7', 'a2'], ['Kb2', 'Kf4\n'], ['Rh7', 'Kf3'], ['Rh4', 'Be6'], ['Rh6', 'Bc4'], ['Rf6+', 'Kg2'], ['Rg6', 'Kh3'], ['Rh6+', '']]",1/2-1/2
URS-JUG,URS,1966.??.??,2,"Despotovic, Momcilo","Gulko, Boris F",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'c6'], ['Be3', 'a6'], ['Qd2', 'b5'], ['Bd3', 'O-O'], ['Nge2', 'Nbd7\n'], ['h4', 'bxc4'], ['Bxc4', 'd5'], ['exd5', 'Nb6'], ['Bb3', 'cxd5'], ['Bh6', 'Nc4'], ['Bxc4', 'dxc4'], ['h5', 'Bf5\n'], ['Bxg7', 'Kxg7'], ['g4', 'Bd3'], ['O-O-O', 'Qb6'], ['Nf4', 'Rab8'], ['hxg6', 'Bxg6'], ['Rh2', 'Rh8'], ['Nh5+', 'Bxh5\n'], ['gxh5', 'Rhg8'], ['Re1', 'Kh8'], ['Rhe2', 'Rb7'], ['Rxe7', 'Rxe7'], ['Rxe7', 'Rg1+'], ['Nd1', 'Qd6\n'], ['Qe3', 'c3'], ['Qxg1', 'cxb2+'], ['Nxb2', 'Qxe7'], ['Qg5', 'Qe1+'], ['Nd1', 'Qe6'], ['Qc5', 'Qxa2'], ['Qf8+', 'Ng8\n'], ['Nc3', 'Qc4'], ['Kc2', 'Qxd4'], ['Qxf7', 'a5']]",1/2-1/2
WchT U26,Harrachov,1967.??.??,?,"Stork, W.","Gulko, Boris F",,,E92,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['e4', 'd6'], ['Be2', 'e5'], ['d5', 'Nh5'], ['g3', 'Na6'], ['Be3', 'f5\n'], ['exf5', 'gxf5'], ['Nd2', 'f4'], ['Bxh5', 'fxe3'], ['fxe3', 'Qg5'], ['Qe2', 'Bh6'], ['Nde4', 'Qxe3'], ['Qxe3', 'Bxe3\n'], ['Ke2', 'Bd4'], ['Raf1', 'Bh3'], ['Rxf8+', 'Rxf8'], ['Bf3', 'h6'], ['Rc1', 'Nc5'], ['b4', 'Nxe4'], ['Nxe4', 'a5\n'], ['b5', 'b6'], ['a4', 'Kg7'], ['Rb1', 'Kg6'], ['Rc1', 'h5'], ['Rb1', 'Kh6'], ['Rc1', 'Rf7'], ['Rb1', 'h4'], ['Rh1', 'Rf8\n'], ['Rc1', 'Bd7'], ['Rf1', 'Bh3'], ['Rc1', 'Bf5'], ['Rf1', 'Bg6'], ['Bg2', 'Bh5+'], ['Bf3', 'Bg6'], ['Bg2', 'h3\n'], ['Bf3', 'Rf7'], ['Kd3', 'Bh5'], ['Ke2', 'Bg6'], ['Bh1', 'Rxf1'], ['Kxf1', 'Bh5'], ['Ke1', 'Bg4'], ['Nd2', 'Bc3\n'], ['Be4', 'Bh5'], ['Bc2', 'Bf3'], ['Kf2', 'Bg2'], ['Nf3', 'Bb4'], ['Bf5', 'Bc5+'], ['Ke2', 'Kh5']]",1/2-1/2
WchT U26,Harrachov,1967.??.??,?,"Vukic, Milan","Gulko, Boris F",,,E17,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['Nc3', 'Ne4'], ['Bd2', 'd5'], ['cxd5', 'exd5\n'], ['Ne5', 'Nxc3'], ['Bxc3', 'O-O'], ['Qb3', 'a5'], ['O-O', 'a4'], ['Qc2', 'Nd7'], ['Nd3', 'Re8'], ['Rac1', 'Bd6\n'], ['e3', 'Qe7'], ['Rfe1', 'Nf6'], ['Red1', 'a3'], ['b4', 'Bc6'], ['Qb1', 'Ba4'], ['Rf1', 'Ne4'], ['Be1', 'Bb5\n'], ['Rd1', 'h5'], ['f3', 'Nf6'], ['Bf2', 'Bxd3'], ['Rxd3', 'Bxb4'], ['Rb3', 'c5'], ['Rd1', 'Ba5'], ['dxc5', 'bxc5\n'], ['Rb7', 'Qe6'], ['Bf1', 'Bb4'], ['Rc1', 'Rec8'], ['e4', 'Nd7'], ['Qb3', 'Nf6'], ['exd5', 'Qxd5'], ['Qxd5', 'Nxd5\n'], ['Bc4', 'Nc7'], ['Rd1', 'Rab8'], ['Ra7', 'Ra8'], ['Rb7', 'Rab8'], ['Ra7', 'Ra8'], ['Rxa8', 'Rxa8'], ['Rd7', 'Ne6\n'], ['f4', 'g6'], ['Kg2', 'Bc3'], ['Bxe6', 'fxe6'], ['Bxc5', 'Rc8'], ['Bxa3', 'Ra8'], ['Be7', 'Rxa2+'], ['Kh3', 'Ra5\n'], ['Kh4', 'Rf5'], ['Bg5', 'Bg7'], ['h3', 'Rd5'], ['Re7', 'e5'], ['f5', 'Rd4+'], ['g4', 'gxf5'], ['Kxh5', 'f4\n'], ['Bh6', 'Bxh6'], ['Kxh6', 'e4'], ['Kg6', 'Rd6+'], ['Kg5', 'Rd3'], ['h4', 'f3'], ['Rxe4', 'Rd5+'], ['Kg6', 'Rd6+\n'], ['Kh5', 'Rf6'], ['Re1', 'f2'], ['Rf1', 'Kg7'], ['Kg5', 'Rf3'], ['h5', 'Rf6'], ['Kh4', 'Rf3'], ['g5', 'Rf4+\n'], ['Kg3', 'Rf5'], ['Kg4', 'Rf8'], ['g6', 'Kh6']]",1/2-1/2
WchT U26,Harrachov,1967.??.??,?,"Tomson, J.","Gulko, Boris F",,,E79,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f4', 'O-O'], ['Nf3', 'c5'], ['Be2', 'cxd4'], ['Nxd4', 'Nc6\n'], ['Be3', 'Bd7'], ['O-O', 'a6'], ['f5', 'Nxd4'], ['Bxd4', 'Bc6'], ['fxg6', 'fxg6'], ['e5', 'dxe5'], ['Bxe5', 'Qa5\n'], ['Qd4', 'Rad8'], ['Qe3', 'Ng4'], ['Rxf8+', 'Rxf8'], ['Bxg4', 'Qxe5'], ['Be6+', 'Kh8'], ['Qxe5', 'Bxe5\n'], ['Rd1', 'Rf4'], ['Bd5', 'Bd4+'], ['Kh1', 'Rf2'], ['a3', 'e5'], ['Bxc6', 'bxc6'], ['Na4', 'e4'], ['g3', 'c5\n'], ['Nc3', 'e3'], ['Re1', 'Rxb2'], ['Nd5', 'Rb3'], ['a4', 'Ra3'], ['Kg2', 'Ra2+'], ['Kf3', 'Rxa4'], ['Nxe3', 'Ra3']]",0-1
WchT U26,Harrachov,1967.??.??,?,"Gulko, Boris F","Schoeneberg, Manfred",,,E18,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['Nc3', 'O-O'], ['O-O', 'Ne4'], ['Bd2', 'd5\n'], ['Ne5', 'Nd7'], ['cxd5', 'exd5'], ['Nxe4', 'dxe4'], ['Qc2', 'c5'], ['Nxd7', 'Qxd7'], ['Bxe4', 'Bxe4'], ['Qxe4', 'Bf6\n'], ['Bc3', 'cxd4'], ['Rfd1', '']]",1/2-1/2
WchT U26,Harrachov,1967.??.??,?,"Martz, William E","Gulko, Boris F",,,E20,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['f3', 'c5'], ['d5', 'd6'], ['e4', 'O-O'], ['Ne2', 'exd5'], ['cxd5', 'Nh5\n'], ['g4', 'Qh4+'], ['Kd2', 'f5'], ['gxh5', 'fxe4'], ['Ng3', 'exf3'], ['Kc2', 'Bxc3'], ['bxc3', 'Nd7'], ['Be3', 'Ne5\n'], ['Qd2', 'Bd7'], ['Rc1', 'Rae8'], ['Kb1', 'a6'], ['h6', 'g6'], ['Bg5', 'Qg4'], ['Be3', 'Bb5'], ['Bf2', 'Qh4\n'], ['h3', 'Bxf1'], ['Rcxf1', 'Nc4'], ['Qd3', 'b5'], ['Re1', 'Qxh6'], ['Re6', 'Ne5'], ['Qd1', 'Qf4'], ['Rxe8', 'Rxe8\n'], ['Ne4', 'Rf8'], ['Re1', 'b4'], ['Nxd6', 'Qg5'], ['c4', 'Rd8'], ['Re4', 'Qf6'], ['Nb7', 'Rc8'], ['d6', 'Qf5\n'], ['Qd5+', 'Nf7'], ['d7', '']]",1-0
URS-ch35,Kharkov,1967.??.??,?,"Gulko, Boris F","Steinberg, Mikhail",,,B75,"[['e4', 'c5'], ['Ne2', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nf6'], ['Bc4', 'd6'], ['f3', 'Qb6\n'], ['Nf5', 'Qxb2'], ['Nxg7+', 'Kf8'], ['Nd5', 'Nxd5'], ['Bxd5', 'Kxg7'], ['O-O', 'Qc3'], ['Qc1', 'h6'], ['Rb1', 'f6\n'], ['Rb3', 'Qa5'], ['Qb2', 'Qc7'], ['f4', 'Rb8'], ['e5', 'dxe5'], ['Bxc6', 'Qxc6'], ['fxe5', 'Rf8'], ['exf6+', 'exf6\n'], ['Rc3', 'Qe8'], ['Rc7+', 'Bd7'], ['Bxa7', 'Rc8'], ['Qxb7', 'Rxc7'], ['Qxc7', 'Rf7'], ['Qg3', 'Qe2'], ['Qf2', 'Qxf2+\n'], ['Bxf2', 'Bf5'], ['c3', 'Rb7'], ['a4', 'Rb3'], ['Bd4', 'h5'], ['Ra1', 'Rb2'], ['a5', 'Be4'], ['Bf2', 'Rc2\n'], ['a6', 'Rxc3'], ['a7', 'g5'], ['h4', 'Rc8'], ['Bd4', 'gxh4'], ['Re1', 'Bd5'], ['Rf1', 'Rc2'], ['Rxf6', 'Rxg2+\n'], ['Kf1', 'Kg8'], ['Rd6', 'Bf3'], ['Rd8+', 'Kf7'], ['a8=Q', 'Bxa8'], ['Rxa8', 'Rg4'], ['Bf2', 'Kg6'], ['Ke2', 'Rc4\n'], ['Kf3', 'Rg4'], ['Ra6+', 'Kf5'], ['Ra5+', 'Kg6'], ['Be3', 'h3'], ['Bf4', 'Rg1']]",1/2-1/2
Moscow-Leningrad m,Leningrad,1967.??.??,?,"Gulko, Boris F","Vorotnikov, Vladislav V",,,B29,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['e5', 'Nd5'], ['Nc3', 'Nxc3'], ['dxc3', 'e6'], ['Bf4', 'Nc6'], ['Qd2', 'h6'], ['g4', 'h5\n'], ['gxh5', 'Rxh5'], ['Be2', 'd5'], ['O-O-O', 'Bd7'], ['c4', 'Qa5'], ['Qxa5', 'Nxa5'], ['cxd5', 'exd5'], ['Ng5', 'Rh4\n'], ['Bg3', 'Rh6'], ['Rxd5', 'Bc6'], ['Rhd1', 'Be7'], ['Ne4', 'Bxd5'], ['Rxd5', 'Rd8'], ['Nd6+', 'Kf8'], ['Rxc5', 'Nc6\n'], ['Rc3', 'Bh4'], ['Bxh4', 'Rxh4'], ['Nxb7', 'Rb8'], ['Nc5', 'Kg8'], ['e6', 'fxe6'], ['Bc4', 'Nd4'], ['Nxe6', 'Nxe6\n'], ['Bxe6+', 'Kh7'], ['h3', 'Rf4'], ['f3', 'Re8'], ['Bg4', 'Re1+'], ['Kd2', 'Ra1'], ['Ra3', 'Rf7'], ['c4', 'Rb7\n'], ['b3', 'Rg1'], ['Ra5', 'Rg2+'], ['Kd3', 'Rg1'], ['Kd2', 'Rg2+'], ['Kc3', 'Rg1'], ['c5', 'Rc7'], ['b4', 'Rd1\n'], ['Ra6', 'Kg8'], ['h4', 'Kf8'], ['h5', 'Rb1'], ['a3', '']]",1-0
Moscow-Leningrad m,Leningrad,1967.??.??,?,"Ivanov, Alexander V","Gulko, Boris F",,,A24,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'e5'], ['Bg2', 'd6'], ['d3', 'Nf6'], ['f4', 'exf4'], ['Bxf4', 'Nh5'], ['Bd2', 'Nc6\n'], ['Nf3', 'O-O'], ['O-O', 'Bg4'], ['b4', 'Qd7'], ['b5', 'Ne7'], ['Rc1', 'Rae8'], ['Qa4', 'Nf5'], ['e4', 'Nd4\n'], ['Qxa7', 'Ra8'], ['Qxb7', 'Nxf3+'], ['Bxf3', 'Bd4+'], ['Kh1', 'Nxg3+'], ['hxg3', 'Bxf3+'], ['Kh2', 'Qg4\n'], ['Qd5', 'Be5'], ['Rxf3', 'Qxf3'], ['Rg1', 'Qh5+'], ['Kg2', 'Qg4'], ['a4', 'Qxg3+'], ['Kf1', 'Qf3+'], ['Ke1', 'Bxc3\n'], ['Bxc3', 'Qe3+'], ['Kf1', 'Rxa4'], ['Qd4', 'Qxd4'], ['Bxd4', 'f5'], ['exf5', 'Rxf5+'], ['Ke2', 'd5'], ['Rc1', 'dxc4\n'], ['dxc4', 'Rf4'], ['Kd3', 'Ra3+'], ['Bc3', 'Kf7'], ['c5', 'Rb3']]",0-1
Moscow-ch,Moscow,1968.??.??,?,"Averbakh, Yuri L","Gulko, Boris F",,,E14,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['e3', 'Bb7'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['Nc3', 'd5'], ['cxd5', 'exd5\n'], ['Ne5', 'c5'], ['Qf3', 'Nc6'], ['Qh3', 'Re8'], ['Rd1', 'g6'], ['Ba6', 'Qc7'], ['Bxb7', 'Qxb7'], ['Qf3', 'Rad8\n'], ['Nxc6', 'Qxc6'], ['dxc5', 'Bxc5'], ['Bd2', 'Re5'], ['Be1', 'Rde8'], ['Rd3', 'Rf5'], ['Qd1', 'Rg5'], ['g3', 'h5\n'], ['Qa4', 'Qe6'], ['Rad1', 'Rg4'], ['Qb3', 'Rb4'], ['Qc2', 'd4'], ['a3', 'Rc4'], ['exd4', 'Rxd4'], ['Rxd4', 'Bxd4\n'], ['Nb5', 'Rd8'], ['Nxd4', 'Rxd4'], ['Rxd4', 'Qxe1+'], ['Kg2', 'Qe5'], ['Qc3', 'Qe7'], ['h3', 'Kh7'], ['Qe3', 'Qb7+\n'], ['Kh2', 'Qc7'], ['Qf4', '']]",1-0
Moscow-ch,Moscow,1968.??.??,?,"Gulko, Boris F","Suetin, Alexey S",,,D87,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'O-O'], ['Ne2', 'c5\n'], ['O-O', 'Nc6'], ['Be3', 'Qc7'], ['Qc1', 'Na5'], ['Bd3', 'b6'], ['dxc5', 'bxc5'], ['Qa3', 'Rd8'], ['Rfd1', 'Nb7']]",1/2-1/2
Moscow-ch,Moscow,1968.??.??,?,"Bronstein, David I","Gulko, Boris F",,,C08,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Bb5+', 'Nc6'], ['Ne2', 'Qb6'], ['a4', 'Nf6'], ['O-O', 'Bg4\n'], ['h3', 'Bh5'], ['c3', 'cxd4'], ['g4', 'Bg6'], ['Nxd4', 'O-O-O'], ['a5', 'Qc7'], ['a6', 'Nxd4'], ['axb7+', 'Kb8\n'], ['cxd4', 'Bc2'], ['Qe2', 'h5'], ['g5', 'Ng4'], ['f4', 'f6'], ['hxg4', 'hxg4'], ['Ba4', 'Bf5'], ['Qa6', 'Bc5\n'], ['dxc5', 'Qxc5+'], ['Kg2', 'Qe3'], ['Ra3', 'Be4+'], ['Nxe4', 'Qxe4+'], ['Kg3', 'Rh3+'], ['Kxg4', 'Qg2+\n'], ['Kf5', 'fxg5'], ['Rxh3', 'Rf8+'], ['Kg6', 'gxf4+'], ['Kh7', 'Qxh3+'], ['Kxg7', 'Qh8+'], ['Kg6', 'Rg8+\n'], ['Kf5', 'Qh7+'], ['Ke5', 'Qe4+'], ['Kd6', 'Rg6+'], ['Kc5', 'Rxa6'], ['Bxf4+', 'Kxb7'], ['Bb5', 'Ra5']]",0-1
Moscow-ch,Moscow,1968.??.??,?,"Gulko, Boris F","Volovich, Anatoly A",,,E57,"[['e4', 'c6'], ['c4', 'd5'], ['exd5', 'cxd5'], ['cxd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nf3', 'e6'], ['d4', 'Be7'], ['Bc4', 'Nf6\n'], ['O-O', 'O-O'], ['Re1', 'Nc6'], ['a3', 'b6'], ['Qd3', 'Bb7'], ['Ba2', 'Rc8'], ['Bg5', 'Re8'], ['Rad1', 'Nd5\n'], ['h4', 'Nxc3'], ['bxc3', 'Qc7'], ['d5', 'exd5'], ['Bxd5', 'Bf8'], ['Ba2', 'Rxe1+'], ['Rxe1', 'Bxa3'], ['Qf5', 'g6\n'], ['Qg4', 'Bd6'], ['Bf6', 'Ne7'], ['Bxf7+', 'Kxf7'], ['Ng5+', 'Ke8'], ['Qe6', 'Qc6'], ['Qf7+', '']]",1-0
Moscow-ch,Moscow,1968.??.??,?,"Gulko, Boris F","Zaitsev, Igor A",,,D04,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['b3', 'Bf5'], ['Bb2', 'e6'], ['e3', 'Nbd7'], ['Be2', 'Bb4+'], ['c3', 'Bd6'], ['Nh4', 'Bxb1\n'], ['Rxb1', 'Ne4'], ['Nf3', 'f5'], ['O-O', 'c6'], ['c4', 'Qf6'], ['c5', 'Bc7'], ['b4', 'a6'], ['Nd2', 'O-O'], ['g3', 'Qh6\n'], ['Nxe4', 'fxe4'], ['Bc1', 'Nf6'], ['Kg2', 'Rf7'], ['a4', 'Raf8'], ['h3', 'Qg6'], ['Bd2', 'Nh5'], ['Be1', 'Rf3\n'], ['Bxf3', 'exf3+'], ['Kh2', 'Nf6'], ['e4', 'dxe4'], ['Bd2', 'Nd5'], ['Qe1', 'h5'], ['h4', 'Qg4'], ['Rh1', 'Bxg3+\n'], ['fxg3', 'f2'], ['Qf1', 'e3'], ['Qh3', 'exd2']]",0-1
Sochi schev,Sochi,1970.??.??,?,"Gulko, Boris F","Tal, Mihail",,,D87,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'O-O'], ['Ne2', 'c5\n'], ['O-O', 'Nc6'], ['Be3', 'Qc7'], ['Qc1', 'Bd7'], ['Rb1', 'cxd4'], ['cxd4', 'Rac8'], ['Bb5', 'Qa5'], ['Qb2', 'Rfd8\n'], ['Bd2', 'Qb6'], ['Qa3', 'Bxd4'], ['Bxc6', 'Bc5'], ['Rxb6', 'Bxa3'], ['Bxd7', 'Rxd7'], ['Bb4', 'axb6\n'], ['Bxa3', 'Rc4'], ['Ng3', 'Ra4'], ['Bc1', 'Rxa2'], ['Be3', 'Rb2'], ['Rc1', 'b5'], ['Kf1', 'b4'], ['Ke1', 'b3\n'], ['Rc3', 'h5'], ['e5', 'Rd5'], ['Ne4', 'Rb5'], ['e6', 'Rb1+'], ['Kd2', 'b2'], ['Bd4', 'Rd1+']]",0-1
Sochi schev,Sochi,1970.??.??,?,"Gulko, Boris F","Suetin, Alexey S",,,E70,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'd6'], ['Nc3', 'g6'], ['e4', 'Bg7'], ['Bd3', 'O-O'], ['Bg5', 'e6'], ['Qd2', 'exd5\n'], ['Nxd5', 'Be6'], ['Ne2', 'Bxd5'], ['exd5', 'Nbd7'], ['Rc1', 'a6'], ['O-O', 'Ne5'], ['Bb1', 'b5'], ['b3', 'Ned7\n'], ['cxb5', 'axb5'], ['b4', 'Qb6'], ['bxc5', 'dxc5'], ['d6', 'Rfe8'], ['Rfd1', 'Ra6'], ['Nf4', 'c4'], ['Rc3', 'Qxd6\n'], ['Qc1', 'Qc5'], ['Nd3', 'Qf8'], ['Ne1', 'Rd6'], ['Re3', 'Nd5'], ['Rxe8', 'Qxe8'], ['Nc2', 'Nc3']]",0-1
Sochi schev,Sochi,1970.??.??,?,"Shamkovich, Leonid","Gulko, Boris F",,,B08,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['Nf3', 'Nf6'], ['Be2', 'O-O'], ['O-O', 'Nc6'], ['Be3', 'e5'], ['d5', 'Ne7\n'], ['Ne1', 'c6'], ['dxc6', 'bxc6'], ['f4', 'd5'], ['fxe5', 'Nxe4'], ['Nxe4', 'dxe4'], ['Qxd8', 'Rxd8'], ['Bg5', 'Re8\n'], ['Bc4', 'Nd5'], ['Bxd5', 'cxd5'], ['Bf6', 'Bh6'], ['c3', 'Rb8'], ['b3', 'Ba6'], ['Rf2', 'Rbc8'], ['Rd1', 'Be3\n'], ['Nc2', 'Bxf2+'], ['Kxf2', 'Rxc3'], ['Ne3', 'Rd3'], ['Rxd3', 'exd3'], ['Ke1', 'Rc8'], ['Kd1', 'Bb5'], ['Nxd5', 'Rc2\n'], ['a4', 'Bd7'], ['h3', 'Be6'], ['Nb4', 'Rxg2']]",0-1
Sochi schev,Sochi,1970.??.??,?,"Suetin, Alexey S","Gulko, Boris F",,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nc6'], ['e5', 'b6'], ['Nf3', 'Bb7'], ['Bb5', 'a6'], ['Ba4', 'Ne7'], ['Ne2', 'Ng6\n'], ['h4', 'h5'], ['c3', 'Qd7'], ['Bg5', 'Be7'], ['Bc2', 'Bxg5'], ['hxg5', 'O-O-O'], ['Bxg6', 'fxg6'], ['Nh4', 'Qf7\n'], ['g3', 'Ne7'], ['Nf4', 'Bc6'], ['a4', 'Kb7'], ['Qd3', 'Be8'], ['b4', 'Rf8'], ['b5', 'Ra8'], ['O-O', 'Qg8\n'], ['Nhxg6', 'Nxg6'], ['Nxg6', 'Qh7'], ['Nf4', 'Qxd3'], ['Nxd3', 'axb5'], ['axb5', 'Rxa1'], ['Rxa1', 'Bxb5\n'], ['Nf4', 'Rxf4'], ['gxf4', 'Bd3'], ['f3', 'g6'], ['Kf2', 'Bf5'], ['Ke3', 'h4'], ['Ra2', 'c5'], ['Rb2', 'Kc6\n'], ['Ra2', 'Kb5'], ['Rb2+', 'Kc6'], ['Ra2', 'Kb5']]",1/2-1/2
